City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
2,2,Ijui,-28.3878,-53.9147,78.82,74,95,10.87,BR,2021-10-10 16:18:48,overcast clouds
9,9,Hithadhoo,-0.6,73.0833,83.62,68,80,13.04,MV,2021-10-10 16:18:49,broken clouds
10,10,Camapua,-19.5314,-54.0439,89.51,50,95,4.85,BR,2021-10-10 16:18:49,light rain
17,17,Miram Shah,33.0086,70.0697,76.41,31,0,1.32,PK,2021-10-10 16:18:51,clear sky
19,19,Lorengau,-2.0226,147.2712,81.41,77,97,5.73,PG,2021-10-10 16:18:52,overcast clouds
29,29,Bumbuna,9.05,-11.7333,82.11,85,88,1.59,SL,2021-10-10 16:18:55,moderate rain
32,32,Butaritari,3.0707,172.7902,81.5,72,18,14.5,KI,2021-10-10 16:28:45,few clouds
37,37,Victoria,22.2855,114.1577,80.94,90,100,5.99,HK,2021-10-10 16:17:19,light rain
39,39,Progreso,21.2833,-89.6667,88.11,63,70,3.27,MX,2021-10-10 16:18:57,broken clouds
40,40,Kapaa,22.0752,-159.319,76.12,76,90,4.0,US,2021-10-10 16:18:58,light rain
41,41,Marzuq,14.4,46.4667,83.3,45,89,4.59,YE,2021-10-10 16:18:58,overcast clouds
46,46,Nouadhibou,20.931,-17.0347,76.98,61,0,18.41,MR,2021-10-10 16:18:59,clear sky
47,47,Meulaboh,4.1363,96.1285,78.78,82,100,1.68,ID,2021-10-10 16:19:00,moderate rain
50,50,Mazatlan,23.2167,-106.4167,87.76,79,20,3.44,MX,2021-10-10 16:14:53,few clouds
56,56,Valle Hermoso,25.6667,-97.8333,89.46,58,4,21.97,MX,2021-10-10 16:19:02,clear sky
57,57,Itarema,-2.9248,-39.9167,87.13,58,80,17.18,BR,2021-10-10 16:19:03,broken clouds
58,58,Ambulu,-8.345,113.6058,76.8,82,89,2.62,ID,2021-10-10 16:19:03,overcast clouds
59,59,Hambantota,6.1241,81.1185,80.85,80,100,18.61,LK,2021-10-10 16:19:04,overcast clouds
61,61,Faanui,-16.4833,-151.75,79.3,72,64,11.27,PF,2021-10-10 16:19:04,broken clouds
63,63,Atuona,-9.8,-139.0333,78.01,71,4,18.45,PF,2021-10-10 16:28:49,clear sky
70,70,Balaipungut,1.05,101.2833,75.61,96,99,2.44,ID,2021-10-10 16:19:06,overcast clouds
71,71,Pundaguitan,6.3711,126.1689,84.43,71,100,7.94,PH,2021-10-10 16:19:07,overcast clouds
74,74,Kalmunai,7.4167,81.8167,82.69,75,100,3.65,LK,2021-10-10 16:19:08,overcast clouds
76,76,Santo Tomas,14.1079,121.1414,81.54,94,55,6.96,PH,2021-10-10 16:19:08,broken clouds
88,88,Hit,33.6416,42.8251,82.85,13,0,4.56,IQ,2021-10-10 16:28:53,clear sky
99,99,Coxim,-18.5067,-54.76,88.2,50,99,7.61,BR,2021-10-10 16:19:15,overcast clouds
106,106,Seymour,38.9592,-85.8903,79.65,71,100,5.01,US,2021-10-10 16:16:12,overcast clouds
110,110,Sinnamary,5.3833,-52.95,86.32,64,97,10.25,GF,2021-10-10 16:19:17,overcast clouds
116,116,Yaan,7.3833,8.5667,81.82,75,83,6.35,NG,2021-10-10 16:19:19,broken clouds
119,119,Umm Lajj,25.0213,37.2685,84.99,70,16,7.83,SA,2021-10-10 16:19:00,few clouds
129,129,Anloga,5.7947,0.8973,81.97,76,51,12.82,GH,2021-10-10 16:19:22,broken clouds
130,130,San Patricio,28.017,-97.5169,88.21,59,12,20.47,US,2021-10-10 16:19:22,few clouds
134,134,Namatanai,-3.6667,152.4333,79.39,78,28,4.23,PG,2021-10-10 16:19:23,scattered clouds
135,135,Peru,40.7537,-86.0689,79.61,72,40,13.8,US,2021-10-10 16:19:23,scattered clouds
146,146,Peniche,39.3558,-9.3811,83.88,68,80,8.01,PT,2021-10-10 16:19:26,broken clouds
148,148,Imamoglu,37.2651,35.6572,79.02,29,0,6.11,TR,2021-10-10 16:19:27,clear sky
155,155,Akyab,20.15,92.9,83.34,79,100,4.41,MM,2021-10-10 16:19:28,overcast clouds
160,160,Palembang,-2.9167,104.7458,77.92,83,77,3.36,ID,2021-10-10 16:19:30,broken clouds
165,165,Corn Island,12.1694,-83.0418,82.45,78,99,11.92,NI,2021-10-10 16:19:32,overcast clouds
167,167,Surt,31.2089,16.5887,78.64,62,54,18.25,LY,2021-10-10 16:19:32,broken clouds
169,169,Thinadhoo,0.5333,72.9333,84.13,71,99,14.34,MV,2021-10-10 16:19:28,overcast clouds
176,176,Luanda,-8.8368,13.2343,77.0,73,20,11.5,AO,2021-10-10 16:24:32,few clouds
177,177,Manokwari,-0.8667,134.0833,78.3,85,65,4.68,ID,2021-10-10 16:19:34,broken clouds
178,178,Bodden Town,19.2833,-81.25,87.98,71,20,4.0,KY,2021-10-10 16:19:34,few clouds
183,183,Maicao,11.3832,-72.2432,85.19,70,72,8.9,CO,2021-10-10 16:19:36,broken clouds
187,187,Patiya,22.2931,91.9762,78.93,91,81,2.33,BD,2021-10-10 16:19:37,broken clouds
191,191,Adeje,28.1227,-16.726,76.08,64,40,17.27,ES,2021-10-10 16:19:39,scattered clouds
192,192,Morgan City,29.6994,-91.2068,85.03,74,75,8.05,US,2021-10-10 16:19:39,broken clouds
195,195,Carmen,18.6333,-91.8333,84.24,84,40,5.75,MX,2021-10-10 16:19:40,scattered clouds
197,197,Ambilobe,-13.2,49.05,78.46,57,97,4.85,MG,2021-10-10 16:19:40,overcast clouds
202,202,Tukrah,32.5341,20.5791,79.36,47,0,7.47,LY,2021-10-10 16:19:42,clear sky
206,206,Tiznit,29.5833,-9.5,83.46,24,100,2.33,MA,2021-10-10 16:19:43,overcast clouds
209,209,Almoradi,38.1088,-0.792,77.61,63,100,8.01,ES,2021-10-10 16:19:44,overcast clouds
211,211,Rawson,-43.3002,-65.1023,77.41,23,0,4.56,AR,2021-10-10 16:19:44,clear sky
212,212,Samarai,-10.6167,150.6667,78.96,80,100,11.34,PG,2021-10-10 16:19:45,overcast clouds
214,214,Dingle,10.9995,122.6711,75.61,93,100,8.41,PH,2021-10-10 16:19:45,overcast clouds
215,215,Kishi,9.0833,3.85,88.39,58,65,2.98,NG,2021-10-10 16:19:46,broken clouds
218,218,Salalah,17.0151,54.0924,80.69,83,75,8.05,OM,2021-10-10 16:19:46,broken clouds
221,221,Sumbe,-11.2061,13.8437,75.83,77,37,4.34,AO,2021-10-10 16:19:47,scattered clouds
222,222,Tabou,4.423,-7.3528,80.94,77,100,8.5,CI,2021-10-10 16:19:47,overcast clouds
231,231,Puerto Escondido,15.85,-97.0667,85.23,64,92,3.2,MX,2021-10-10 16:19:50,overcast clouds
235,235,Nanganga,-10.3833,39.15,76.08,71,95,11.5,TZ,2021-10-10 16:19:52,overcast clouds
237,237,Kirakira,-10.4544,161.9205,77.5,87,99,4.03,SB,2021-10-10 16:19:52,overcast clouds
240,240,Sucua,-2.4667,-78.1667,75.94,78,75,2.3,EC,2021-10-10 16:19:53,light rain
