City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
0,Kamenka,51.3223,42.7678,47.08,49,0,5.41,RU,2021-10-10 16:18:47,clear sky
1,Tilichiki,60.4667,166.1,26.67,77,73,3.87,RU,2021-10-10 16:18:47,broken clouds
2,Ijui,-28.3878,-53.9147,78.82,74,95,10.87,BR,2021-10-10 16:18:48,overcast clouds
3,Saint George,37.1041,-113.5841,61.27,52,1,1.99,US,2021-10-10 16:15:46,clear sky
4,Mataura,-46.1927,168.8643,54.48,87,100,2.71,NZ,2021-10-10 16:28:42,moderate rain
5,Yatou,37.15,122.3833,59.97,52,100,15.95,CN,2021-10-10 16:18:48,light rain
6,Bredasdorp,-34.5322,20.0403,71.28,71,78,9.8,ZA,2021-10-10 16:18:45,broken clouds
7,Yushan,31.3776,120.9543,73.98,91,100,16.15,CN,2021-10-10 16:15:15,light rain
8,Castro,-24.7911,-50.0119,57.63,96,100,8.52,BR,2021-10-10 16:18:49,overcast clouds
9,Hithadhoo,-0.6,73.0833,83.62,68,80,13.04,MV,2021-10-10 16:18:49,broken clouds
10,Camapua,-19.5314,-54.0439,89.51,50,95,4.85,BR,2021-10-10 16:18:49,light rain
11,Maple Creek,49.9168,-109.4848,57.25,35,51,21.85,CA,2021-10-10 16:18:50,broken clouds
12,Hagere Hiywet,8.9833,37.85,59.2,94,59,5.77,ET,2021-10-10 16:18:50,light rain
13,Codrington,-38.2667,141.9667,45.19,76,66,9.69,AU,2021-10-10 16:18:50,broken clouds
14,Rikitea,-23.1203,-134.9692,74.55,81,100,19.35,PF,2021-10-10 16:28:43,overcast clouds
15,Half Moon Bay,37.4636,-122.4286,63.81,77,90,0.0,US,2021-10-10 16:18:51,mist
16,Punta Arenas,-53.15,-70.9167,51.91,40,40,35.68,CL,2021-10-10 16:28:43,scattered clouds
17,Miram Shah,33.0086,70.0697,76.41,31,0,1.32,PK,2021-10-10 16:18:51,clear sky
18,Port Elizabeth,-33.918,25.5701,63.1,67,0,11.5,ZA,2021-10-10 16:18:52,clear sky
19,Lorengau,-2.0226,147.2712,81.41,77,97,5.73,PG,2021-10-10 16:18:52,overcast clouds
